ตารางที่ 1: สรุปเปรียบเทียบผลประกอบการ 4 สาขา ประจำปี 2569 (มกราคม - กันยายน 2569)
สาขา,ช่วงเวลาที่มีข้อมูล,รายรับรวม (บาท),สัดส่วนรายรับ,รายจ่ายดำเนินงาน (บาท),ค่าเช่าบันทึก (บาท),รายจ่ายรวม (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (Margin),บทบาทและสถานะทางธุรกิจ
สาขา 1,9 เดือน (ม.ค.-ก.ย.),473461,43.84%,385317,45343,430660,42801,9.04%,Cash Cow อันดับ 1 (กำไรสุทธิสูงสุดและยอดขายสูงสุดในกลุ่ม)
สาขา 2,ก.ย. (19 วันแรก),19890,1.84%,25260,3333.33,28593.33,-8703.33,-43.76%,สาขาที่มีข้อมูลบันทึก 19 วันแรก ก.ย. 69 (ค่าเช่ารอบ 3 ด.)
สาขา 3,9 เดือน (ม.ค.-ก.ย.),387155,35.85%,387569,24000,411569,-24414,-6.31%,ยอดขายสม่ำเสมออันดับ 2 ทะลุเป้า 40k ติดต่อกัน 4 เดือนซ้อน
สาขา 4,7 เดือน (มี.ค.-ก.ย.),199418,18.47%,194817,13335.99,208152.99,-4278,-2.15%,เติบโตเร็วที่สุด (+72% MoM) ค่าเช่ารอบ 3 เดือน
รวมทั้งกิจการ,ม.ค. - ก.ย. 2569,1079924,100.00%,992963,86012.32,1078975.32,948.68,0.09%,ยอดขายทะลุ 1.07 ล้านบาท พลิกกลับมามีกำไรสุทธิรวมทั้งกิจการ

ตารางที่ 2: สรุปผลประกอบการรายเดือนทั้งกิจการ ปี 2569 (มกราคม - กันยายน 2569)
เดือน,ปี,สาขา 1 (บาท),สาขา 2 (บาท),สาขา 3 (บาท),สาขา 4 (บาท),รายรับรวม (บาท),รายจ่ายรวม (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (Margin),หมายเหตุสำคัญ
มกราคม,2569,44743,0,77494,0,122237,97468,24769,20.26%,เปิดปีใหม่ ยอดขายทะลุ 1.2 แสน สาขา 3 ทำ All-Time High 7.7 หมื่นบาท
กุมภาพันธ์,2569,31510,0,44473,0,75983,89714,-13731,-18.07%,เดือนสั้น 28 วัน ยอดชะลอตัว
มีนาคม,2569,54373,0,32186,22454,109013,121197,-12184,-11.18%,สาขา 4 เปิดขายเดือนแรก ยอดรวมแตะ 1.09 แสนบาท
เมษายน,2569,144215,0,37470,24236,205921,161200,44721,21.72%,All-Time High! เทศกาลสงกรานต์ ยอดขายพุ่งทะลุ 2 แสน กำไรสุทธิเดือนเดียวกว่า 4.4 หมื่น
พฤษภาคม,2569,45260,0,32214,31466,108940,108101,839,0.77%,สาขา 4 ทะลุเป้า 30k ยอดรวมเกิน 1.08 แสนบาท กำไรสุทธิเป็นบวก
มิถุนายน,2569,33265,0,41143,28368,102776,127963,-25187,-24.51%,ต้นฤดูฝน มีรอบจ่ายค่าเช่าและสต็อกของหลายสาขา
กรกฎาคม,2569,56370,0,49295,34810,140475,142490,-2015,-1.43%,ยอดขายฟื้นตัวอย่างแข็งแกร่ง ทุกสาขาเติบโตแตะ 1.4 แสนบาท
สิงหาคม,2569,44005,0,45812,38655,128472,123791,4681,3.64%,สาขา 4 ทำ All-Time High พลิกกลับมามีกำไรสุทธิ +4681 บ.
กันยายน (1-19 วัน),2569,19720,19890,27068,23885,90563,107051,-16488,-18.21%,ข้อมูล 19 วันแรก รวมทั้ง 4 สาขา คาดสิ้นเดือนทะลุ 1.4 แสนบาท
รวมสะสม 9 เดือน,-,473461,19890,387155,199418,1079924,1078975,949,0.09%,ยอดขายสะสมทะลุ 1.07 ล้านบาท กำไรสุทธิรวมเป็นบวก
