เดือน,ปี,เป้าหมายยอดขาย (บาท),รายรับจริง (บาท),รายจ่ายดำเนินงาน (บาท),ค่าเช่าบันทึก (บาท),รายจ่ายรวม (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (Margin),หมายเหตุและสถานะ
มกราคม,2569,40000,44743,26078,5639,31717,13026,29.11%,ทะลุเป้า 40k กำไรสุทธิสูงถึง +13026 บ. (ค่าเช่า/ค่าไฟ 5639 บ. วันที่ 6)
กุมภาพันธ์,2569,40000,31510,25597,5000,30597,913,2.90%,ขาย 28 วัน คุมรายจ่ายได้ดี จ่ายค่าเช่า 5000 บ. วันที่ 2 กำไรสุทธิ +913 บ.
มีนาคม,2569,40000,54373,52267,5000,57267,-2894,-5.32%,ยอดขายทะลุ 5.4 หมื่นบาท จ่ายค่าเช่า 5000 บ. รวมค่าไฟตกค้าง 4942 บ.
เมษายน,2569,50000,144215,94159,5000,99159,45056,31.24%,All-Time High! ยอดขายเทศกาลสงกรานต์ทะลุ 1.44 แสนบาท กำไรสุทธิ +45056 บ.
พฤษภาคม,2569,40000,45260,42016,5000,47016,-1756,-3.88%,ยอดขายเกิน 4.5 หมื่นบาท ทะลุเป้า 40k จ่ายค่าเช่า 5000 บ. วันที่ 1
มิถุนายน,2569,40000,33265,39664,7554,47218,-13953,-41.95%,ยอดชะลอตัวตามฤดูกาล มีค่าเช่า 5000 บ. และค่าไฟ 2554 บ. วันที่ 1
กรกฎาคม,2569,40000,56370,51021,5000,56021,349,0.62%,ทะลุเป้า 40k ยอดพุ่ง 5.6 หมื่นบาท พลิกกลับมามีกำไรสุทธิ จ่ายค่าเช่า 5000 บ.
สิงหาคม,2569,40000,44005,37522,2150,39672,4333,9.85%,ทะลุเป้า 40k ต่อเนื่อง กำไรสุทธิเด่น +4333 บ. ทยอยเก็บค่าเช่าวันละ 215 บ.
กันยายน (1-22 วัน),2569,40000,23370,22612,5000,27612,-4242,-18.15%,ขาย 22 วัน (พัก 1 วัน) กำไรดำเนินงานก่อนค่าเช่า +758 บ. มีค่าไฟ 1916 บ. คาดสิ้นเดือนแตะ ~31868 บ.
รวมสะสม 9 เดือน,-,-,477111,390936,45343,436279,40832,8.56%,ยอดขายและกำไรสุทธิสะสมอันดับ 1 ของทุกสาขา (กำไรสะสมแตะ 4.08 หมื่นบาท)
