เดือน,ปี,เป้าหมายยอดขาย (บาท),รายรับจริง (บาท),รายจ่ายรวม (บาท),ค่าเช่าบันทึก (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (Margin),หมายเหตุและสถานะ
มกราคม,2569,60000,77494,65751,4000,11743,15.15%,เปิดปีใหม่ ยอดขายสูงสุดทะลุเป้า 60k (+11743 บ.)
กุมภาพันธ์,2569,60000,44473,59117,4000,-14644,-32.93%,เดือนสั้น 28 วัน จ่ายค่าเช่า 4000 บ. (ว.2) ยอดคงเหลือ 506 บ.
มีนาคม,2569,40000,32186,40847,2000,-8661,-26.91%,มีค่าไฟ 1398 บ. (ว.1) ค่าเช่า 2000 บ. (ว.3) ยอดคงเหลือ 174 บ.
เมษายน,2569,40000,37470,38716,2000,-1246,-3.33%,บันทึกสรุปตามสมุด: สารรับ 37470 รายจ่าย 38716 ติดลบ 1246 บ.
พฤษภาคม,2569,40000,32214,29924,2000,2290,7.11%,พลิกมีกำไรสุทธิ +2290 บ. จ่ายค่าเช่า 2000 บ. ยอดคงเหลือ 1297 บ.
มิถุนายน,2569,40000,41143,49967,4000,-8824,-21.45%,🎯 ทะลุเป้า 40k จ่ายค่าเช่า 4000 บ. (ว.2) ยอดคงเหลือ 119 บ.
กรกฎาคม,2569,40000,49295,51785,2000,-2490,-5.05%,🎯 ทะลุเป้า 40k แตะ 49295 บ. จ่ายค่าเช่า 2000 บ. ยอดคงเหลือ 340 บ.
สิงหาคม,2569,40000,45812,47343,2000,-1531,-3.34%,🎯 ทะลุเป้า 40k ต่อเนื่อง (หากไม่รวมก้อนพิเศษ 5400 บ. จะกำไร +3869 บ.)
กันยายน (1-21 วัน),2569,40000,29567,30486,4000,-919,-3.11%,ขาย 21 วัน คาดการณ์สิ้นเดือนแตะ ~42240 บ. ทะลุเป้า 5 เดือนซ้อน
รวมสะสม 9 เดือน,-,-,389654,413936,24000,-24282,-6.23%,สาขาที่สร้างยอดขายสม่ำเสมออันดับ 2 เฉลี่ย 43295 บ./เดือน ทะลุเป้า 40k 5 เดือนติด
