วันที่,สาขา 1 (รายรับ),สาขา 2 (รายรับ),สาขา 3 (รายรับ),สาขา 4 (รายรับ),รวมรายรับทุกสาขา (บาท),สาขา 1 (รายจ่าย),สาขา 2 (รายจ่าย),สาขา 3 (รายจ่าย),สาขา 4 (รายจ่าย),รวมรายจ่ายทุกสาขา (บาท)
1,2430,1080,1290,925,5725,569,970,1498,469,3506
2,855,1055,1145,1335,4390,1147,1195,1539,1112,4993
3,650,690,1155,895,3390,1290,1510,1450,2000,6250
4,1245,685,1110,1010,4050,5385,4460,480,950,11275
5,1800,1765,1255,1690,6510,530,808,1300,917,3555
6,1060,1850,1140,1495,5545,3054,910,1050,550,5564
7,1080,1410,955,1240,4685,540,412,963,749,2664
8,830,1070,670,1120,3690,1381,3303,546,1525,6755
9,780,1300,755,1515,4350,390,1383,3945,1020,6738
10,1350,2305,1065,1245,5965,625,440,1596,1571,4232
11,775,2390,700,1465,5330,2490,1895,1533,4303,10221
12,1305,1635,1015,1235,5190,425,390,1021,1529,3365
13,1180,1875,1190,1505,5750,607,3479,1288,1158,6532
14,1370,1660,1060,1525,5615,410,935,1142,1472,3959
15,0,875,1165,1530,3570,0,974,1267,1067,3308
16,690,1315,1005,1015,4025,1905,1723,1218,1249,6095
17,790,1230,995,800,3815,425,1534,1233,1855,5047
18,440,1378,1075,1020,3913,395,1200,945,507,3047
รวม 18 วัน,18630,25568,18745,22565,85508,21568,27521,24014,24003,97106
