วันที่,สาขา 1 (รายรับ),สาขา 2 (รายรับ),สาขา 3 (รายรับ),สาขา 4 (รายรับ),รวมรายรับทุกสาขา (บาท),สาขา 1 (รายจ่าย),สาขา 2 (รายจ่าย),สาขา 3 (รายจ่าย),สาขา 4 (รายจ่าย),รวมรายจ่ายทุกสาขา (บาท)
1,2430,1290,1080,925,5725,569,1498,970,469,3506
2,855,1145,1055,1335,4390,1147,1539,1195,1112,4993
3,650,1155,690,895,3390,1290,1450,1510,2000,6250
4,1245,1110,685,1010,4050,5385,480,4460,950,11275
5,1800,1255,1765,1690,6510,530,1300,808,917,3555
6,1060,1140,1850,1495,5545,3054,1050,910,550,5564
7,1080,955,1410,1240,4685,540,963,412,749,2664
8,830,670,1070,1120,3690,1381,546,3303,1525,6755
9,780,755,1300,1515,4350,390,3945,1383,1020,6738
10,1350,1065,2305,1245,5965,625,1596,440,1571,4232
11,775,700,2390,1465,5330,2490,1533,1895,4303,10221
12,1305,1015,1635,1235,5190,425,1021,390,1529,3365
13,1180,1190,1875,1505,5750,607,1288,3479,1158,6532
14,1370,1060,1660,1525,5615,410,1142,935,1472,3959
15,0,1165,875,1530,3570,0,1267,974,1067,3308
16,690,1005,1315,1015,4025,1905,1218,1723,1249,6095
17,790,995,1230,800,3815,425,1233,1534,1855,5047
18,440,1075,1378,1020,3913,395,945,1200,507,3047
19,1090,1145,1500,1320,5055,425,1246,598,1009,3278
20,1425,1325,1679,1505,5934,2565,680,1839,837,5921
21,1165,1065,820,740,3790,638,1636,528,1206,4008
22,1060,950,790,920,3720,2416,2516,1419,690,7041
23,480,1115,630,865,3090,614,520,430,625,2189
24,1665,1575,1784,1175,6199,3460,1337,3464,1045,9306
25,820,1510,1800,1830,5960,1195,640,609,2172,4616
26,1320,1220,1540,1265,5345,462,1591,390,1353,3796
รวม 26 วัน,27655,28650,36111,32185,124601,33343,34180,36798,32940,137261
