ตารางที่ 1: สรุปเปรียบเทียบผลประกอบการ 4 สาขา ประจำปี 2569 (มกราคม - กันยายน 2569)
สาขา,ช่วงเวลาที่มีข้อมูล,รายรับรวม (บาท),สัดส่วนรายรับ,รายจ่ายดำเนินงาน (บาท),ค่าเช่าบันทึก (บาท),รายจ่ายรวม (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (Margin),บทบาทและสถานะทางธุรกิจ
สาขา 1,9 เดือน (ม.ค.-ก.ย.),480336,37.28%,394251,45343,439594,40742,8.48%,Cash Cow อันดับ 1 (กำไรสุทธิสูงสุดและยอดขายสูงสุดในกลุ่ม)
สาขา 2,7 เดือน (มี.ค.-ก.ย.),205886,15.98%,200871,10000,210871,-4985,-2.42%,เปิด มี.ค. 69 ยอดขายสะสมแตะ 2.05 แสนบาท วันที่ 26 สต็อกลูกชิ้น
สาขา 3,9 เดือน (ม.ค.-ก.ย.),395408,30.69%,394829,24000,418829,-23421,-5.92%,ยอดขายสม่ำเสมออันดับ 2 กำไรดำเนินงาน ก.ย. แตะ +3313 บ. ทะลุ 3.6 หมื่น
สาขา 4,7 เดือน (มี.ค.-ก.ย.),206798,16.05%,202055,13336,215391,-8593,-4.16%,เติบโตเร็ว ทะลุ 3.2 หมื่นเร็วที่สุดใน 7 เดือน ยอดขายสะสม ก.ย. ทะลุ 32k ค่าเช่ารอบ 3 เดือน
รวมทั้งกิจการ,ม.ค. - ก.ย. 2569,1288428,100.00%,1192006,92679,1284685,3743,0.29%,ยอดขายสะสมแตะ 1.288 ล้านบาท กำไรสุทธิรวมทั้งปีเป็นบวก +3743 บ.

ตารางที่ 2: สรุปผลประกอบการรายเดือนทั้งกิจการ ปี 2569 (มกราคม - กันยายน 2569)
เดือน,ปี,สาขา 1 (บาท),สาขา 2 (บาท),สาขา 3 (บาท),สาขา 4 (บาท),รายรับรวม (บาท),รายจ่ายรวม (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (Margin),หมายเหตุสำคัญ
มกราคม,2569,44743,0,77494,0,122237,97468,24769,20.26%,เปิดปีใหม่ ยอดขายทะลุ 1.2 แสน สาขา 3 ทำ All-Time High 7.7 หมื่นบาท
กุมภาพันธ์,2569,31510,0,44473,0,75983,89714,-13731,-18.07%,เดือนสั้น 28 วัน ยอดชะลอตัว
มีนาคม,2569,54373,14219,32186,22454,123232,137663,-14431,-11.71%,สาขา 2 และ สาขา 4 เริ่มเปิดขายเดือนแรก ยอดรวมแตะ 1.23 แสนบาท
เมษายน,2569,144215,44303,37470,24236,250224,197424,52800,21.10%,All-Time High! เทศกาลสงกรานต์ ยอดขายพุ่งทะลุ 2.5 แสน กำไรสุทธิเดือนเดียวกว่า 5.2 หมื่น
พฤษภาคม,2569,45260,28715,32214,31466,137655,133663,3992,2.90%,สาขา 4 ทะลุเป้า 30k ทุกสาขาทำยอดรวมเกิน 1.37 แสนบาท กำไรสุทธิเป็นบวก
มิถุนายน,2569,33265,22016,41143,28368,124792,157475,-32683,-26.19%,ต้นฤดูฝน มีรอบจ่ายค่าเช่าและสต็อกของหลายสาขา
กรกฎาคม,2569,56370,35048,49295,34810,175523,176481,-958,-0.55%,ยอดขายฟื้นตัวอย่างแข็งแกร่ง สาขา 2 จ่ายค่าเช่า 3 ด. ยอดรวมแตะ 1.75 แสนบาท
สิงหาคม,2569,44005,33885,45812,38655,162357,157909,4448,2.74%,สาขา 4 ทำ ATH สาขา 2 ยอดพุ่ง 3.38 หมื่น พลิกกลับมามีกำไรสุทธิ +4448 บ.
กันยายน (1-26 วัน),2569,27655,28650,36111,32185,124601,143928,-19327,-15.51%,ข้อมูล 26 วันแรก ยอดขายรายวัน 5,345 บ. กำไรหน้าร้านรวม +1,549 บ. ยอดสะสมแตะ 1.24 แสนบาท (124,601 บ.)
รวมสะสม 9 เดือน,-,480336,205886,395408,206798,1288428,1284685,3743,0.29%,ยอดขายสะสมแตะ 1.288 ล้านบาท กำไรสุทธิสะสมทั้งปียังคงเป็นบวก (+3,743 บ.)
